Language,Dialect,DialectAlt,DialectContinuum,DialectContinuumAlt,SubDialect,SubDialectAlt,NativeSpeakers,LocationCountry,LocationCountryInfo,Level1Eng,Level2Eng,Level1Kur,Level2Kur,LocationOld,LocationAlt,LocationKur,LocationType,LocationInfo,,,DialectDensity,NativeSpeakersYear,OfficialLanguage,Notes,Sources
Kurdish,Northern Kurdish,Kurmanji,Southwestern Kurmanji,SWK,,,,Syria,,Aleppo,,Heleb,,Aleppo,Heleb,,province,northern section,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southwestern Kurmanji,SWK,,,,Turkey,,Urfa,,Riha,,Urfa,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southwestern Kurmanji,SWK,,,,Turkey,,Akbudak,,Akbûdas,,Akbudak,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southwestern Kurmanji,SWK,,,,Turkey,,Adiyaman,,Adiyaman,,Adiyaman,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,Turkey,,,,,,,,,,,,,,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,,,Mus,,Mûş,,Muş,Mûş,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,,,Agri,,Agri,,Ağrı,"Agirî, Qerekilîs",,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,,,Erzurum,,Erzirom,,Erzurum,Erzerom,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,,,Van,,Wan,,Van,Wan,,province,some districts,,,middle,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northern Kurmanji,"Serhed Kurdish, NK",,,,,,Bitlis,,Bedlîs,,Bitlis,Bilîs/Bedlîs,,province,some districts,,,middle,,,,(Öpengin & Haig 2014)
